id,subject,exp_cat,pred_cat,cat_correct,exp_urg,pred_urg,urg_correct,exp_sent,pred_sent,sent_correct,exp_esc,pred_esc,esc_correct,hallucinated,hallu_explanation,latency_s,docs_retrieved,draft_length,all_correct,error
B001,Charged twice this month,billing,billing,True,high,medium,False,negative,negative,True,True,False,False,False,Response is grounded in context.,19.86,3,444,False,
B002,How do I update my credit card?,billing,billing,True,low,low,True,neutral,neutral,True,False,False,True,False,Response is grounded in context.,6.43,3,239,True,
B003,FRAUD — unauthorized charge on my accoun,billing,billing,True,critical,high,False,angry,angry,True,True,True,True,False,Response is grounded in context.,8.11,3,502,False,
B004,Refund request,billing,billing,True,medium,low,False,neutral,neutral,True,False,False,True,False,Response is grounded in context.,10.86,3,897,False,
B005,Do you accept PayPal?,billing,billing,True,low,low,True,neutral,neutral,True,False,False,True,False,Response is grounded in context.,5.34,3,167,True,
B006,Charged after I cancelled,billing,billing,True,high,medium,False,angry,negative,False,True,False,False,False,Response is grounded in context.,6.27,3,256,False,
B007,Refund timeline question,billing,billing,True,low,low,True,neutral,neutral,True,False,False,True,False,Response is grounded in context.,7.51,3,356,True,
B008,Want to cancel subscription,billing,account,False,low,low,True,neutral,neutral,True,False,False,True,True,"The response contains a claim about canceling a subscription, which is not supported by the context provided. The context only discusses deleting an account, changing a username, and handling locked accounts.",6.74,3,284,False,
B009,Wrong amount charged,billing,billing,True,high,medium,False,negative,negative,True,True,False,False,False,Response is grounded in context.,6.83,3,337,False,
B010,Invoice for tax purposes,billing,billing,True,low,low,True,neutral,neutral,True,False,False,True,True,"The response mentions an invoice for subscription payments, which is not related to the original context about canceling a subscription or getting a refund.",6.83,3,336,True,
T001,App crashes on launch,technical,technical,True,high,medium,False,negative,negative,True,True,False,False,False,Response is grounded in context.,10.28,3,691,False,
T002,How do I clear the cache?,technical,technical,True,low,low,True,neutral,neutral,True,False,False,True,False,Response is grounded in context.,7.0,3,256,True,
T003,This app is absolute garbage — crashes e,technical,technical,True,critical,high,False,angry,angry,True,True,True,True,False,Response is grounded in context.,9.31,3,618,False,
T004,Sync not working between devices,technical,technical,True,medium,medium,True,neutral,neutral,True,False,False,True,False,Response is grounded in context.,10.18,3,690,True,
T005,API returning 500 errors,technical,technical,True,critical,high,False,negative,negative,True,True,True,True,False,Response is grounded in context.,9.23,3,464,False,
T006,What is the API rate limit?,technical,technical,True,low,low,True,neutral,neutral,True,False,False,True,False,Response is grounded in context.,8.03,3,260,True,
T007,Can't update the app on iPhone,technical,technical,True,medium,medium,True,neutral,neutral,True,False,False,True,False,Response is grounded in context.,10.66,3,467,True,
T008,Login page not loading,technical,technical,True,high,medium,False,negative,negative,True,True,False,False,False,Response is grounded in context.,8.87,3,301,False,
T009,App is slower than before,technical,technical,True,low,low,True,neutral,neutral,True,False,False,True,False,Response is grounded in context.,12.07,3,580,True,
T010,Data disappeared after update,technical,technical,True,critical,high,False,angry,negative,False,True,True,True,False,Response is grounded in context.,8.89,3,304,False,
A001,Can't log in — locked out,account,technical,False,critical,high,False,negative,negative,True,True,True,True,False,Response is grounded in context.,12.85,3,661,False,
A002,How to change my username,account,account,True,low,low,True,neutral,neutral,True,False,False,True,False,Response is grounded in context.,9.1,3,287,True,
A003,Delete my account permanently,account,account,True,medium,low,False,neutral,neutral,True,False,False,True,False,Response is grounded in context.,10.33,3,432,False,
A004,How to set up 2FA,account,account,True,low,low,True,positive,neutral,False,False,False,True,False,Response is grounded in context.,12.02,3,519,False,
A005,Someone hacked my account,account,account,True,critical,high,False,angry,angry,True,True,True,True,False,Response is grounded in context.,8.5,3,246,False,
A006,Change email address,account,account,True,low,low,True,neutral,neutral,True,False,False,True,False,Response is grounded in context.,10.81,3,449,True,
A007,Password reset email not arriving,account,account,True,medium,medium,True,neutral,neutral,True,False,False,True,False,Response is grounded in context.,9.14,3,337,True,
A008,Transfer account to new email,account,account,True,high,high,True,negative,neutral,False,True,True,True,False,Response is grounded in context.,12.87,3,639,False,
A009,How many times can I change username?,account,account,True,low,low,True,neutral,neutral,True,False,False,True,False,Response is grounded in context.,8.54,3,236,True,
A010,Disabled account — was not warned,account,account,True,high,high,True,angry,negative,False,True,True,True,False,Response is grounded in context.,9.8,3,392,False,
S001,Order not arrived — 10 days late,shipping,shipping,True,high,medium,False,negative,neutral,False,True,False,False,False,Response is grounded in context.,11.51,3,493,False,
S002,Received wrong item,shipping,shipping,True,medium,medium,True,negative,neutral,False,False,False,True,False,Response is grounded in context.,12.1,3,539,False,
S003,How long does shipping to Canada take?,shipping,shipping,True,low,low,True,neutral,neutral,True,False,False,True,False,Response is grounded in context.,9.98,3,339,True,
S004,Package says delivered but not here,shipping,shipping,True,high,high,True,negative,negative,True,True,True,True,False,Response is grounded in context.,12.32,3,557,True,
S005,Can I change my delivery address?,shipping,shipping,True,high,medium,False,neutral,neutral,True,True,False,False,False,Response is grounded in context.,9.88,3,335,False,
S006,Item arrived damaged,shipping,shipping,True,high,medium,False,negative,negative,True,True,False,False,False,Response is grounded in context.,11.18,3,436,False,
S007,Tracking number not working,shipping,shipping,True,medium,medium,True,neutral,neutral,True,False,False,True,False,Response is grounded in context.,11.38,3,461,True,
S008,Do you ship to Australia?,shipping,shipping,True,low,low,True,neutral,neutral,True,False,False,True,False,Response is grounded in context.,15.96,3,799,True,
S009,Refund for lost package,shipping,shipping,True,critical,high,False,angry,negative,False,True,True,True,False,Response is grounded in context.,8.96,3,212,False,
S010,Express shipping upgrade possible?,shipping,shipping,True,medium,low,False,neutral,neutral,True,False,False,True,True,The response incorrectly states that it's not possible to upgrade shipping from standard to express after placing the order. The context does not mention anything about shipping upgrades.,10.95,3,402,False,
G001,Dark mode feature request,general,general,True,low,low,True,positive,positive,True,False,False,True,False,Response is grounded in context.,12.2,3,502,True,
G002,Great product — just a suggestion,general,general,True,low,low,True,positive,positive,True,False,False,True,True,"The response mentions keyboard shortcuts, which is not supported by the given context.",10.9,3,444,True,
G003,Is there a mobile app?,general,general,True,low,low,True,neutral,neutral,True,False,False,True,True,"The response does not address the questions asked about app crashes or missing features. Instead, it provides information about a non-existent mobile app and offers no guidance on how to resolve the issues mentioned in the context.",11.33,3,368,True,
G004,When is the next update coming?,general,general,True,low,low,True,positive,positive,True,False,False,True,False,Response is grounded in context.,11.17,3,438,True,
G005,Accessibility features needed,general,technical,False,medium,low,False,neutral,neutral,True,False,False,True,False,Response is grounded in context.,10.55,3,363,False,
G006,Is my data safe?,general,technical,False,medium,low,False,neutral,neutral,True,False,False,True,True,"The response does not address the issues mentioned in the context (sync problems, login issues, app crashes) and instead provides information about data security, which is unrelated to the original query.",12.87,3,584,False,
G007,Partnership inquiry,general,general,True,low,low,True,positive,neutral,False,False,False,True,True,"The response does not address the questions about duplicate charges, wrong items, or lost packages. Instead, it provides information about partnership opportunities and sales team contact, which is unrelated to the context provided.",9.52,3,300,False,
G008,Your product is terrible,general,technical,False,medium,low,False,angry,negative,False,True,False,False,False,Response is grounded in context.,18.83,3,1051,False,
G009,Student discount available?,general,general,True,low,low,True,neutral,positive,False,False,False,True,True,"The response mentions student discounts and the need for a valid student ID to qualify, which is not supported by the given context.",9.08,3,232,False,
G010,GDPR data request,general,technical,False,medium,low,False,neutral,neutral,True,False,False,True,True,"The response mentions GDPR data requests and exporting personal data, which are not related to the original context about API errors and feature availability.",15.23,3,771,False,
